Title,Link
后端,https://blog.csdn.net/nav/back-end
前端,https://blog.csdn.net/nav/web
移动开发,https://blog.csdn.net/nav/mobile
编程语言,https://blog.csdn.net/nav/lang
Java,https://blog.csdn.net/nav/java
Python,https://blog.csdn.net/nav/python
人工智能,https://blog.csdn.net/nav/ai
AIGC,https://blog.csdn.net/nav/aigc-0
大数据,https://blog.csdn.net/nav/big-data
数据库,https://blog.csdn.net/nav/database
数据结构与算法,https://blog.csdn.net/nav/algo
音视频,https://blog.csdn.net/nav/avi
云原生,https://blog.csdn.net/nav/cloud-native
云平台,https://blog.csdn.net/nav/cloud
前沿技术,https://blog.csdn.net/nav/advanced-technology
开源,https://blog.csdn.net/nav/open-source
小程序,https://blog.csdn.net/nav/miniprog-0
运维,https://blog.csdn.net/nav/ops
服务器,https://blog.csdn.net/nav/server
操作系统,https://blog.csdn.net/nav/os
硬件开发,https://blog.csdn.net/nav/hardware
嵌入式,https://blog.csdn.net/nav/embedded
微软技术,https://blog.csdn.net/nav/microsoft
软件工程,https://blog.csdn.net/nav/software-engineering
测试,https://blog.csdn.net/nav/test
网络空间安全,https://blog.csdn.net/nav/sec
网络与通信,https://blog.csdn.net/nav/telecommunication
用户体验设计,https://blog.csdn.net/nav/design
学习和成长,https://blog.csdn.net/nav/job
搜索,https://blog.csdn.net/nav/search
开发工具,https://blog.csdn.net/nav/devtools
游戏,https://blog.csdn.net/nav/game
HarmonyOS,https://blog.csdn.net/nav/harmonyos
区块链,https://blog.csdn.net/nav/blockchain
数学,https://blog.csdn.net/nav/math
3C硬件,https://blog.csdn.net/nav/3c-hardware
资讯,https://blog.csdn.net/nav/news
,https://blog.csdn.net/csdnnews/article/details/144279489?spm=1001.2014.3001.5501
C++之父独家回应白宫安全禁令，全球C++及系统软件技术大会揭秘C++26重大更新,https://blog.csdn.net/csdnnews/article/details/144279489?spm=1001.2014.3001.5501
Bjarne Stroustrup于大会上深入探讨了如何通过“更快、更易维护、更安全”的视角重新审视这门经典语言。,https://blog.csdn.net/csdnnews/article/details/144279489?spm=1001.2014.3001.5501
告别VMware！被博通收购后涨价10倍，这家拥有2万台虚拟机的公司愤而“投奔”开源,https://blog.csdn.net/csdnnews/article/details/144279385?spm=1001.2014.3001.5501
面对 VMware 增长十倍的收费，近日英国云服务提供商 Beeks Group 也指出要将超过 2 万台虚拟机全部迁移至开源平台 OpenNebula。,https://blog.csdn.net/csdnnews/article/details/144279385?spm=1001.2014.3001.5501
年薪20+万美元，每周仅工作5小时？斯坦福研究发现：9.5%的“幽灵工程师”每年浪费900亿美元！,https://blog.csdn.net/csdnnews/article/details/144256459?spm=1001.2014.3001.5501
一项来自斯坦福大学的研究揭示了一个令人震惊的事实：在科技行业中大约有 9.5% 的工程师几乎没有做出实质性的工作贡献，导致每年损失高达 900 亿美元。而随着远程工作的普及，“幽灵工程师”的现象越来越普遍。,https://blog.csdn.net/csdnnews/article/details/144256459?spm=1001.2014.3001.5501
“再见了 Rust，祝你成功，但我还是回到了 C++……”,https://blog.csdn.net/csdnnews/article/details/144255558?spm=1001.2014.3001.5501
作者分享了从 Rust 回归 C++ 的心路历程,https://blog.csdn.net/csdnnews/article/details/144255558?spm=1001.2014.3001.5501
互联网大厂校招开奖揭秘，如何拿下顶级Offer？,https://blog.csdn.net/csdnnews/article/details/144254925?spm=1001.2014.3001.5501
学历是敲门砖，但不是唯一,https://blog.csdn.net/csdnnews/article/details/144254925?spm=1001.2014.3001.5501
英特尔CEO“被迫”退休？或因错失AI风口、芯片代工难扭亏,https://blog.csdn.net/csdnnews/article/details/144233424?spm=1001.2014.3001.5501
黯然离场,https://blog.csdn.net/csdnnews/article/details/144233424?spm=1001.2014.3001.5501
朱啸虎回应月之暗面仲裁,https://blog.csdn.net/csdngeeknews/article/details/144286154
OpenAI上线满血版o1大模型 | 极客头条,https://blog.csdn.net/csdngeeknews/article/details/144286154
快手前端动效大揭秘,https://blog.csdn.net/kuaishoutech/article/details/144268204
告别低效，vision平台来袭！,https://blog.csdn.net/kuaishoutech/article/details/144268204
侯捷C++系列精品课程终于来了！,https://edu.csdn.net/cloud/houjie?utm_source=home
"限时领取价值¥4000+福利资料
限时领取价值¥4000+福利资料
限时领取价值¥4000+福利资料",https://edu.csdn.net/cloud/houjie?utm_source=home
被字节起诉实习生获AI顶会最佳论文,https://blog.csdn.net/csdngeeknews/article/details/144256470
OpenAI将在未来12天每天发新公告 | 极客头条,https://blog.csdn.net/csdngeeknews/article/details/144256470
微软遭遇 12.7 亿美元的反垄断诉讼,https://blog.csdn.net/csdngeeknews/article/details/144244370
鸿蒙版微信会被对方看到自己的备注｜极客头条,https://blog.csdn.net/csdngeeknews/article/details/144244370
 排行榜,https://blog.csdn.net/rank/list
 docker系统详解哟 以及相关命令 Centos Kali安装相关详解 Docker-Compose 亲测 概念centos7 安装dockerkali安装dockerdocker安装nginxDocker常用命令容器得常用命令常用docker-compose命令，就是将算乱的多个文件打包为一个整体，打包技术在没有docker容器之前。，它的底层实现原理我们现在不用纠结。用它来打包出来的软件，体积会非常小。比如如果在一个虚拟机上安装了nginx，那么这个虚拟机怎么也要1G以上，但是用docker打包的已经安装好的nginx，可能也就100M左右，体积小很多。,https://blog.csdn.net/zhzx123aa/article/details/144150070
作者：浩浩测试一下,https://blog.csdn.net/zhzx123aa
,https://blog.csdn.net/zhzx123aa/article/details/144150070
 【智体OS】官方上新发布rtpc分布式设备远程控制插件：实现跨网络对PC电脑的随时随地地远程访问 本次更新的内容为：rtpc实时分布式PC远程访问和实时控制（基于dtns-rtpc-api和dtns.dpkg插件机制——插件包仅11kb大小，大大增强了远程管理PC设备的能力）！,https://blog.csdn.net/lauo1188/article/details/144262210
作者：lauo,https://blog.csdn.net/lauo1188
,https://blog.csdn.net/lauo1188/article/details/144262210
" 自荐kivy(零基础)入门到精通教学 第一个练习：使用kivy 来写一个定时器。第三个小练习 python画本应用。第二个小练习：官方乒乓球应用。第四个练习  单词本应用app。第一个实战,贪吃蛇app。",https://blog.csdn.net/weixin_46431344/article/details/144314630
作者：今生水月,https://blog.csdn.net/weixin_46431344
,https://blog.csdn.net/weixin_46431344/article/details/144314630
 利用python做个简易代理ip爬取——后期可用于proxy_pool的使用 pages：定义要爬取的页数，这里是4页。header：设置请求头，模拟浏览器访问，以避免被网站屏蔽。这段代码实现了一个简单的网页爬虫，用于从指定网站抓取IP地址和端口号，并将结果保存到本地文件中。通过使用requests库发送HTTP请求，parsel库解析HTML内容，并添加适当的延迟和异常处理，确保了爬虫的稳定性和可靠性。,https://blog.csdn.net/m0_74907475/article/details/144332355
作者：乐茵安全,https://blog.csdn.net/m0_74907475
,https://blog.csdn.net/m0_74907475/article/details/144332355
修改兴趣标签,https://i.csdn.net/#/user-center/profile?floor=interest
反馈信息流问题,https://bbs.csdn.net/forums/placard?typeId=1100
 kafka进阶_4.kafka扩展 kafka扩展学习记录,https://blog.csdn.net/qq_43563660/article/details/144325381
作者：珍珠是蚌的眼泪,https://blog.csdn.net/qq_43563660
,https://blog.csdn.net/qq_43563660/article/details/144325381
 TensorFlow与PyTorch对比：哪个更适合初学者？ 本文对比分析了深度学习领域的两大框架——TensorFlow与PyTorch，探讨了它们各自的特点、优势和不足。TensorFlow以其高效的静态计算图适合大规模应用，而PyTorch的动态计算图和简洁代码使其更适合实验和调试。通过具体代码示例，本文帮助初学者了解这两个框架的差异，提供了选择建议，帮助读者根据需求做出适合自己的框架选择。,https://blog.csdn.net/qq_41865545/article/details/144227393
作者：一点一木,https://blog.csdn.net/qq_41865545
,https://blog.csdn.net/qq_41865545/article/details/144227393
" 【宠物识别系统】Python+卷积神经网络算法+深度学习+人工智能+TensorFlow+图像识别 宠物识别系统，本系统使用Python作为主要开发语言，基于TensorFlow搭建卷积神经网络算法，并收集了37种常见的猫狗宠物种类数据集【‘阿比西尼亚猫（Abyssinian）’, ‘孟加拉猫（Bengal）’, ‘暹罗猫（Birman）’, ‘孟买猫（Bombay）’, ‘英国短毛猫（British Shorthair）’, ‘埃及猫（Egyptian Mau）’, ‘缅因猫（Maine Coon）’, ‘波斯猫（Persian）’, ‘布偶猫（Ragdoll）’, ‘俄罗斯蓝猫（Russian Blu",https://blog.csdn.net/meridian002/article/details/144276446
作者：　子午,https://blog.csdn.net/meridian002
,https://blog.csdn.net/meridian002/article/details/144276446
 Odoo ：一款免费且开源的食品生鲜领域ERP管理系统 Odoo免费开源ERP提供业财人资税的精益化管理，实现研产供销的融通、食品安全的追踪与溯源，达成渠道的扁平化以及直面消费者的 D2C 等数字化解决方案，以此提升运营效率与核心竞争力，支撑高质量的变速扩张。,https://blog.csdn.net/yangxunbosh/article/details/144263586
作者：Odoo老杨,https://blog.csdn.net/yangxunbosh
,https://blog.csdn.net/yangxunbosh/article/details/144263586
 kafka 和 rocketmq 的区别 Kafka 和 RocketMQ 是两种高性能的分布式消息队列系统，广泛用于实时数据处理、事件流处理和分布式系统的解耦。,https://blog.csdn.net/qq_41893505/article/details/144268990
作者：信徒_,https://blog.csdn.net/qq_41893505
,https://blog.csdn.net/qq_41893505/article/details/144268990
 SpringBoot 整合 Avro 与 Kafka 详解 在目录下创建一个 Avro 架构文件这个架构文件定义了和。,https://blog.csdn.net/hai40587/article/details/144229793
作者：陈辰学长,https://blog.csdn.net/hai40587
,https://blog.csdn.net/hai40587/article/details/144229793
 第六章 元素应用CSS 大学英语等级考试中心、国家职业技能鉴定所、国家安全培训中心以及汽车驾驶员培训中心等多个基地，为广大学子取得各专业国家级技能等级证和从业资格打造了良好的平台，大学英语等级考试中心、国家职业技能鉴定所、国家安全培训中心以及汽车驾驶员培训中心等多个基地，为广大学子取得各专业国家级技能等级证和从业资格打造了良好的平台，大学英语等级考试中心、国家职业技能鉴定所、国家安全培训中心以及汽车驾驶员培训中心等多个基地，为广大学子取得各专业国家级技能等级证和从业资格打造了良好的平台，,https://blog.csdn.net/2402_83184285/article/details/144233991
作者：@小蜜蜂肘击,https://blog.csdn.net/2402_83184285
,https://blog.csdn.net/2402_83184285/article/details/144233991
 第二十二天 TensorFlow静态图与动态图 静态图适合需要高效计算、可移植性和静态分析的场景，如大规模分布式训练和模型部署。动态图适合需要灵活性、易调试和实时性的场景，如原型设计和快速实验。在TensorFlow中，可以根据具体需求选择使用静态图或动态图模式。随着TensorFlow版本的更新和发展，动态图模式（Eager Execution）已经成为TensorFlow的默认执行模式，使得TensorFlow的使用变得更加简单和直观。,https://blog.csdn.net/dulgao/article/details/144267258
作者：MarkHD,https://blog.csdn.net/dulgao
,https://blog.csdn.net/dulgao/article/details/144267258
 Python爬虫——猫眼电影 python中requests库爬取电影信息并保存到csv文件中,https://blog.csdn.net/m0_69045813/article/details/144243270
作者：伊一大数据&人工智能学习日志,https://blog.csdn.net/m0_69045813
,https://blog.csdn.net/m0_69045813/article/details/144243270
 爬取豆瓣电影的数据-----爬虫实战案例（爬取文字） 我们爬取每个电影的一些信息。,https://blog.csdn.net/lou0720/article/details/144333078
作者：Kai  HVZ,https://blog.csdn.net/lou0720
,https://blog.csdn.net/lou0720/article/details/144333078
 入门Web自动化测试之元素定位进阶技巧 既然说到了XPath，就绕不过“轴”这个概念，说直白点它就是用来表示当前页面中节点一个大合集，掌握了轴的用法可以帮助我们快速的定位页面中的节点，在复杂的页面中，经常会有多层嵌套的的结构，我们可以跳过一些不相关的节点来直接定位到所需的节点（避免遍历），从而提升脚本的执行效率。同样的，//li[@class=‘selected’]不多解释，这里使用following-sibling轴来选择该元素之后的所有同级元素，因为这里选取了之后的所有元素，所以就不需要进行特定的位置条件筛选了，直接指定标签名即可。,https://blog.csdn.net/2401_86705770/article/details/144276965
作者：爱学测试的雨果,https://blog.csdn.net/2401_86705770
 等你来答proteus仿真的OLED显示屏不亮 ,https://ask.csdn.net/questions/8166912
作者：67mi,https://blog.csdn.net/2201_75406082
,https://ask.csdn.net/questions/8166912
 工业—使用Flink处理Kafka中的数据_ChangeRecord3 使用Flink消费Kafka中ChangeRecord主题的数据，统计每3分钟各设备状态为“预警”且未处理的数据总数，将结果存入MySQL数据库shtd_industry的threemin_warning_state_agg表中（追加写入，表结构如下）。请将任务启动命令复制粘贴至客户端桌面【Release\任务D提交结果.docx】中对应的任务序号下，启动且数据进入后按照设备id升序排序查询threemin_warning_state_agg。,https://blog.csdn.net/dafsq/article/details/144261756
作者：open_test01,https://blog.csdn.net/dafsq
,https://blog.csdn.net/dafsq/article/details/144261756
 Python中zip()函数的妙用与实战指南 在Python编程世界中，zip()函数就像一个神奇的拉链，能够优雅地将多个序列元素完美组合。这个内置函数不仅提高了代码的可读性，还大大提升了处理多序列数据的效率。让我们深入探讨这个实用的功能。 基本概念与原理…,https://blog.csdn.net/2401_88888297/article/details/144333811
作者：志-AOX,https://blog.csdn.net/2401_88888297
,https://blog.csdn.net/2401_88888297/article/details/144333811
 Kafka单机及集群部署及基础命令 Kafka单机及集群部署及基础命令,https://blog.csdn.net/weixin_42924611/article/details/144286551
作者：阿桨,https://blog.csdn.net/weixin_42924611
,https://blog.csdn.net/weixin_42924611/article/details/144286551
所有活动,https://bbs.csdn.net/forums/activity
更多,https://live.csdn.net/?spm=1000.2115.3001.4124
"    正在直播    
        第六届中国计算机教育大会 智能计算系统大会论坛
        11070 热度",https://live.csdn.net/room/devcloud/Eapo3Uc2
"   直播预约     
        Microsoft Fabric - 数据库镜像 - 新功能及未来路线图
       12/10 15:00 ",https://live.csdn.net/room/MicrosoftReactor/j7egNhdu
"   直播预约     
        开启企业全智能化应用场景 - Semantic Kernel 开发者日中国站
       12/11 09:30 ",https://live.csdn.net/room/MicrosoftReactor/I7VpH2il
"   直播预约     
        在 Microsoft Fabric 中升级至 Data Factory 的路径
       12/17 15:00 ",https://live.csdn.net/room/MicrosoftReactor/8uL9ZKvz
更多,https://huiyi.csdn.net/
上海 全球 C++ 及系统软件技术大会,https://cpp-summit.org/?utm_source=account&spm=1000.2115.3001.5952
线下 2024 亚马逊云科技 re:Invent 北京站,https://marketing.csdn.net/questions/Q2411291714301437406
线上 Pioneers AI 初创加速计划,https://marketing.csdn.net/p/243a2e2e244ec6a0bdcbfc24b9a1a8a7?pId=2700
更多,https://jingsai.csdn.net/
" 
        开放原子开源大赛
        
        主办方：开放原子开源基金会 央视网 江苏省信息化和工业化厅等 协办方：CSDN
      ",https://www.openkylin.top/community/ai_contest_24.html
更多,https://edu.csdn.net/studyvip?utm_source=learninngvip_sy_hyjx
 VIP Java8编程实战 ,https://edu.csdn.net/course/detail/3576
 VIP 面试之排序算法 ,https://edu.csdn.net/course/detail/27220
 VIP 实用数据分析：数据分析师从小白到精通 ,https://edu.csdn.net/course/detail/27362
 VIP Java之路 ,https://edu.csdn.net/course/detail/772
 VIP 韦东山嵌入式Linux第一期视频 ,https://edu.csdn.net/course/detail/207
 VIP 编程可以这样学 ,https://edu.csdn.net/course/detail/5247
更多,https://spec.csdn.net/
 全球产品经理技术大会 ,http://pm-summit.org/?utm_souce=auccount
 高端 IT 人员出国意愿调查问卷 ,https://www.wjx.cn/vm/eXEZkrB.aspx#
  Qualcomm 开发者专区  ,https://qualcomm.csdn.net/
 英特尔开发人员专区 ,https://intel.csdn.net/
 英特尔开发套件专区 ,https://inteldevkit.csdn.net/
 移动AI云电脑重磅发布，引领智能终端新纪元 ,https://www.csdn.net/article/2024-11-29/144128189
 BSV区块链中文开发者社区 ,https://bss.csdn.net/m/zone/bsv/index
 ConsenSys Web3社区 ,https://infura.csdn.net/consensys/index
,https://devpress.csdn.net/shanghai
上海城市开发者社区,https://devpress.csdn.net/shanghai
,https://devpress.csdn.net/shenzhen
深圳城市开发者社区,https://devpress.csdn.net/shenzhen
,https://devpress.csdn.net/changsha
长沙城市开发者社区,https://devpress.csdn.net/changsha
,https://devpress.csdn.net/wuhan
武汉城市开发者社区,https://devpress.csdn.net/wuhan
,https://devpress.csdn.net/chongqing
重庆城市开发者社区,https://devpress.csdn.net/chongqing
,https://devpress.csdn.net/hefei
合肥城市开发者社区,https://devpress.csdn.net/hefei
视觉中国,https://www.vcg.com 
BOSS直聘,https://www.zhipin.com
看准网,https://www.kanzhun.com
优设网,https://www.uisdc.com
View UI,https://www.iviewui.com/docs/introduce
DevPress社区,https://devpress.csdn.net/
CSDN文库,https://wenku.csdn.net/
Edge插件,https://plugin.csdn.net/
仓颉编程语言,https://cangjie-lang.cn/
